SD NO.,SD_Name,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,Mar-May,Jun-Sep,Oct-Dec
15,HIMACHAL PRADESH,1967,30.80,99.10,181.50,31.40,48.10,99.30,386.30,403.30,105.70,36.90,23.80,112.40,1558.60,129.90,261.00,994.60,173.10
16,JAMMU & KASHMIR,1967,16.60,127.40,174.00,92.50,57.80,56.00,156.10,173.50,115.20,49.30,16.90,165.20,1200.50,144.00,324.30,500.80,231.40
17,WEST RAJASTHAN ,1967,0.00,0.00,59.00,2.10,2.00,25.20,63.10,96.00,64.20,3.30,3.70,21.70,340.30,0.00,63.10,248.50,28.70
18,EAST  RAJASTHAN ,1967,0.00,0.00,55.60,1.40,2.70,86.50,158.90,255.50,158.90,1.10,1.40,38.20,760.20,0.00,59.70,659.80,40.70
19,WEST MADHYA PRADESH,1967,0.00,0.00,31.90,2.50,0.90,125.90,223.50,253.80,222.20,2.30,0.10,82.50,945.60,0.00,35.30,825.40,84.90
20,EAST MADHYA PRADESH,1967,0.20,0.00,53.30,1.10,2.10,118.50,396.50,481.20,262.00,5.80,1.10,86.00,1407.80,0.20,56.50,1258.20,92.90
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1967,0.00,0.00,41.50,0.40,0.20,131.10,410.80,207.10,120.90,0.90,0.00,21.30,934.20,0.00,42.10,869.90,22.20
22,SAURASHTRA KUTCH & DIU,1967,0.00,0.00,45.20,0.60,0.30,112.90,473.40,61.80,31.40,0.10,0.00,25.50,751.20,0.00,46.10,679.50,25.60
23,KOKAN & GOA,1967,0.00,0.00,2.30,0.80,7.50,718.90,1132.50,466.10,353.50,85.80,0.50,14.00,2781.90,0.00,10.60,2671.00,100.30
24,MADHYA MAHARASHTRA,1967,0.00,0.10,4.70,13.30,7.80,130.40,367.40,139.00,146.70,43.10,2.10,58.60,913.20,0.10,25.80,783.50,103.80
25,MARATWADA ,1967,0.00,0.00,4.00,1.00,5.90,146.00,224.00,104.10,136.00,26.40,0.00,112.40,759.80,0.00,10.90,610.10,138.80
26,VIDARBHA,1967,0.50,0.00,50.00,7.40,1.60,184.60,406.80,244.80,101.60,8.00,1.10,121.80,1128.20,0.50,59.00,937.80,130.90
27,CHATTISGARH,1967,1.40,0.00,87.50,14.10,10.40,183.80,391.40,517.90,177.60,8.00,5.60,53.70,1451.40,1.40,112.00,1270.70,67.30
28,COSTAL ANDHRA PRADESH,1967,17.70,0.00,65.60,12.90,13.30,104.20,192.50,100.60,122.60,42.90,28.30,90.40,791.00,17.70,91.80,519.90,161.60
29,TELENGANA,1967,1.40,0.00,53.10,13.80,5.50,142.40,298.40,170.80,147.30,9.30,0.50,35.10,877.60,1.40,72.40,758.90,44.90
30,RAYALSEEMA,1967,9.70,0.00,23.20,8.10,48.40,57.80,128.10,42.20,133.90,103.10,29.00,62.40,645.90,9.70,79.70,362.00,194.50
31,TAMIL NADU & PONDICHERRY,1967,28.90,1.00,40.40,19.30,47.60,69.10,69.40,81.20,76.20,182.30,127.10,156.70,899.20,29.90,107.30,295.90,466.10
32,COASTAL KARNATAKA,1967,2.00,0.00,0.10,18.50,86.70,658.70,1368.50,673.40,237.10,124.80,7.40,4.50,3181.70,2.00,105.30,2937.70,136.70
33,NORTH INTERIOR KARNATAKA,1967,1.20,0.00,11.80,34.60,32.50,74.10,187.10,72.50,141.90,80.00,1.70,8.40,645.80,1.20,78.90,475.60,90.10
34,SOUTH INTERIOR KARNATAKA,1967,5.80,0.00,4.60,25.70,77.70,136.50,350.00,157.30,57.60,95.70,12.10,16.10,939.10,5.80,108.00,701.40,123.90
35,KERALA,1967,14.30,0.10,24.60,70.10,244.90,541.70,741.40,508.40,145.80,172.70,74.00,31.10,2569.10,14.40,339.60,1937.30,277.80
36,LAKSHADWEEP ,1967,7.80,2.70,0.00,0.00,148.30,301.20,380.10,196.90,100.40,92.30,24.50,33.10,1287.30,10.50,148.30,978.60,149.90
1,ANDAMAN & NICOBAR ISLANDS,1968,22.10,1.30,4.20,81.50,297.60,545.20,519.30,242.00,496.80,281.60,152.00,119.20,2762.80,23.40,383.30,1803.30,552.80
2,ARUNACHAL PRADESH,1968,54.20,41.40,135.90,117.60,307.20,523.90,404.80,227.50,243.50,75.80,12.50,8.40,2152.70,95.60,560.70,1399.70,96.70
3,ASSAM & MEGHALAYA,1968,21.40,17.80,75.80,174.00,430.20,682.40,556.10,374.00,243.80,122.10,22.50,2.20,2722.30,39.20,680.00,1856.30,146.80
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1968,17.30,20.90,80.90,142.20,253.80,396.10,531.90,391.00,178.30,68.90,28.70,0.00,2110.00,38.20,476.90,1497.30,97.60
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1968,26.30,4.70,34.30,90.80,237.30,646.70,827.60,594.20,514.80,314.30,87.30,0.50,3378.80,31.00,362.40,2583.30,402.10
6,GANGETIC WEST BENGAL,1968,5.70,7.60,7.70,12.60,35.50,368.80,418.20,472.20,115.20,115.90,37.80,0.60,1597.80,13.30,55.80,1374.40,154.30
7,ORISSA,1968,33.40,29.70,20.70,26.50,45.70,186.70,311.60,335.40,236.60,191.60,45.50,0.70,1464.10,63.10,92.90,1070.30,237.80
8,JHARKHAND,1968,34.50,9.40,5.50,4.70,22.00,273.20,351.60,420.50,97.30,71.30,0.50,3.70,1294.20,43.90,32.20,1142.60,75.50
9,BIHAR ,1968,29.10,1.70,7.00,3.00,17.30,261.80,329.60,293.10,79.20,113.30,0.00,4.90,1140.00,30.80,27.30,963.70,118.20
10,EAST UTTAR PRADESH,1968,28.80,5.50,4.50,2.60,1.70,95.10,311.30,251.10,104.10,32.90,0.00,2.30,839.90,34.30,8.80,761.60,35.20
11,WEST UTTAR PRADESH,1968,21.80,8.40,10.00,0.30,0.10,46.30,319.60,204.00,64.20,15.60,0.00,1.50,691.80,30.20,10.40,634.10,17.10
12,UTTARANCHAL,1968,173.10,122.60,62.90,49.00,15.00,218.60,393.60,280.60,121.60,13.00,1.40,38.90,1490.30,295.70,126.90,1014.40,53.30
13,"HARYANA, DELHI & CHANDIGARH",1968,13.60,15.50,17.10,0.00,2.10,30.20,217.50,93.00,0.10,6.80,0.00,2.00,397.90,29.10,19.20,340.80,8.80
14,PUNJAB ,1968,24.70,30.50,32.70,2.10,1.60,42.60,239.40,142.10,0.50,11.70,0.50,7.80,536.20,55.20,36.40,424.60,20.00
15,HIMACHAL PRADESH,1968,188.50,114.10,80.80,50.90,44.90,99.30,277.20,181.10,16.30,47.20,9.10,58.80,1168.20,302.60,176.60,573.90,115.10
16,JAMMU & KASHMIR,1968,144.00,80.60,94.00,67.90,58.10,47.70,252.50,175.70,19.30,64.80,31.70,67.70,1104.00,224.60,220.00,495.20,164.20
17,WEST RAJASTHAN ,1968,2.90,6.20,2.90,0.00,7.00,0.40,96.80,24.50,0.60,0.70,0.00,0.00,142.00,9.10,9.90,122.30,0.70
18,EAST  RAJASTHAN ,1968,8.80,1.60,6.50,0.20,4.30,5.30,295.70,177.60,10.60,5.00,0.00,0.20,515.80,10.40,11.00,489.20,5.20
19,WEST MADHYA PRADESH,1968,9.20,2.00,9.70,1.20,0.20,34.40,404.10,291.90,94.10,14.10,0.00,0.40,861.30,11.20,11.10,824.50,14.50
20,EAST MADHYA PRADESH,1968,35.70,12.10,8.80,3.50,1.20,101.90,355.80,281.30,151.50,20.40,0.00,1.50,973.70,47.80,13.50,890.50,21.90
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1968,0.10,0.30,1.40,0.00,0.20,32.40,287.40,300.20,46.70,10.00,0.00,0.00,678.70,0.40,1.60,666.70,10.00
22,SAURASHTRA KUTCH & DIU,1968,1.00,0.90,1.00,0.00,0.60,12.20,113.50,172.40,25.20,5.60,0.60,0.00,333.00,1.90,1.60,323.30,6.20
23,KOKAN & GOA,1968,0.00,0.30,0.10,6.00,1.50,559.80,1114.20,369.90,209.80,126.80,8.80,0.00,2397.20,0.30,7.60,2253.70,135.60
24,MADHYA MAHARASHTRA,1968,1.60,3.60,9.40,11.20,2.50,95.40,238.90,213.30,172.10,60.60,15.10,0.30,824.00,5.20,23.10,719.70,76.00
25,MARATWADA ,1968,5.80,23.80,32.20,11.30,0.70,94.20,219.00,63.60,210.60,24.50,26.30,0.30,712.30,29.60,44.20,587.40,51.10
26,VIDARBHA,1968,14.60,23.90,36.60,15.40,0.70,104.80,291.40,210.50,193.00,23.00,4.70,4.30,922.90,38.50,52.70,799.70,32.00
27,CHATTISGARH,1968,25.90,23.70,16.50,21.00,7.70,162.80,346.50,280.50,212.40,69.40,1.60,3.60,1171.60,49.60,45.20,1002.20,74.60
28,COSTAL ANDHRA PRADESH,1968,6.90,7.80,9.60,34.40,19.80,58.80,136.00,34.80,147.10,159.10,98.30,22.70,735.30,14.70,63.80,376.70,280.10
29,TELENGANA,1968,12.80,15.50,20.80,19.60,9.80,79.40,188.60,40.30,223.50,85.00,15.50,0.70,711.50,28.30,50.20,531.80,101.20
30,RAYALSEEMA,1968,0.10,5.00,12.20,33.10,25.20,44.50,67.60,12.50,164.80,105.50,62.50,41.00,574.00,5.10,70.50,289.40,209.00
31,TAMIL NADU & PONDICHERRY,1968,4.60,5.60,36.50,85.90,46.90,47.90,53.70,65.00,137.70,111.80,121.10,72.70,789.40,10.20,169.30,304.30,305.60
32,COASTAL KARNATAKA,1968,2.00,0.00,6.30,43.70,19.20,826.60,1550.50,456.30,304.90,221.40,30.10,0.10,3461.10,2.00,69.20,3138.30,251.60
33,NORTH INTERIOR KARNATAKA,1968,1.90,15.80,2.70,41.20,32.20,92.40,162.30,47.60,202.50,98.50,29.90,0.30,727.30,17.70,76.10,504.80,128.70
34,SOUTH INTERIOR KARNATAKA,1968,0.00,7.90,8.40,47.40,71.70,121.00,284.00,124.80,208.50,99.50,23.30,3.30,999.80,7.90,127.50,738.30,126.10
35,KERALA,1968,7.30,30.50,89.20,133.30,90.00,696.40,1308.90,380.70,325.40,178.90,119.40,32.70,3392.70,37.80,312.50,2711.40,331.00
36,LAKSHADWEEP ,1968,8.70,1.80,30.60,45.40,16.60,393.80,439.80,84.10,202.80,46.50,31.40,42.90,1344.40,10.50,92.60,1120.50,120.80
1,ANDAMAN & NICOBAR ISLANDS,1969,106.30,64.70,14.60,20.80,317.30,422.80,345.20,281.40,489.80,146.80,343.70,65.80,2619.20,171.00,352.70,1539.20,556.30
2,ARUNACHAL PRADESH,1969,19.20,10.00,33.80,127.00,202.30,412.30,405.10,333.90,241.40,42.90,34.80,15.10,1877.80,29.20,363.10,1392.70,92.80
3,ASSAM & MEGHALAYA,1969,25.10,1.60,100.80,182.50,272.70,635.10,530.60,490.80,201.00,80.90,28.40,1.80,2551.30,26.70,556.00,1857.50,111.10
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1969,20.10,2.40,124.60,189.80,73.50,606.60,868.30,1347.20,228.10,126.30,23.20,0.00,3610.10,22.50,387.90,3050.20,149.50
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1969,11.50,2.80,45.10,77.50,273.30,504.80,550.50,448.20,431.20,45.80,34.10,0.00,2424.80,14.30,395.90,1934.70,79.90
6,GANGETIC WEST BENGAL,1969,4.70,5.10,20.90,80.20,89.00,139.80,276.20,418.00,300.90,45.90,23.20,0.20,1404.10,9.80,190.10,1134.90,69.30
7,ORISSA,1969,0.70,1.00,4.00,27.30,80.70,158.60,432.50,293.50,197.70,41.80,38.90,6.40,1283.10,1.70,112.00,1082.30,87.10
8,JHARKHAND,1969,6.20,4.00,5.00,34.70,86.20,130.20,299.10,337.40,209.80,25.10,20.80,0.10,1158.60,10.20,125.90,976.50,46.00
9,BIHAR ,1969,5.20,9.30,9.70,20.70,64.40,193.10,348.40,379.40,219.10,15.30,23.60,0.30,1288.50,14.50,94.80,1140.00,39.20
10,EAST UTTAR PRADESH,1969,2.80,2.60,2.90,7.00,37.30,59.20,368.80,322.20,200.50,6.80,13.30,0.00,1023.40,5.40,47.20,950.70,20.10
11,WEST UTTAR PRADESH,1969,5.80,3.00,9.90,4.80,16.30,17.10,311.70,262.20,230.80,0.40,15.30,0.00,877.30,8.80,31.00,821.80,15.70
12,UTTARANCHAL,1969,79.60,43.00,49.00,60.60,77.10,89.70,381.10,482.00,345.20,25.30,0.20,1.00,1633.80,122.60,186.70,1298.00,26.50
13,"HARYANA, DELHI & CHANDIGARH",1969,1.40,6.50,9.20,3.20,21.00,11.10,127.80,135.40,166.80,0.20,0.50,0.00,483.10,7.90,33.40,441.10,0.70
14,PUNJAB ,1969,14.20,21.70,24.40,12.00,17.20,10.80,145.90,122.90,120.90,1.10,3.70,0.00,494.80,35.90,53.60,400.50,4.80
15,HIMACHAL PRADESH,1969,66.00,78.60,72.70,130.40,111.00,31.00,201.80,306.70,117.20,8.40,2.40,1.50,1127.70,144.60,314.10,656.70,12.30
16,JAMMU & KASHMIR,1969,89.50,148.70,119.70,174.20,101.10,30.00,150.90,175.00,41.60,57.20,3.80,0.80,1092.50,238.20,395.00,397.50,61.80
17,WEST RAJASTHAN ,1969,1.00,1.20,1.10,1.00,2.70,3.00,48.80,43.50,15.50,1.00,0.10,0.00,118.90,2.20,4.80,110.80,1.10
18,EAST  RAJASTHAN ,1969,3.60,1.10,1.70,2.00,5.00,16.70,226.30,254.20,115.80,0.10,1.90,0.00,628.40,4.70,8.70,613.00,2.00
19,WEST MADHYA PRADESH,1969,5.70,0.30,0.00,0.20,0.80,47.90,393.40,395.90,226.50,0.00,45.80,0.30,1116.80,6.00,1.00,1063.70,46.10
20,EAST MADHYA PRADESH,1969,8.30,2.70,1.10,0.70,9.70,41.70,553.40,392.80,198.30,0.00,33.20,0.00,1241.90,11.00,11.50,1186.20,33.20
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1969,0.00,0.10,0.00,0.00,0.00,100.80,322.60,153.00,197.70,0.00,8.20,4.20,786.60,0.10,0.00,774.10,12.40
22,SAURASHTRA KUTCH & DIU,1969,0.00,0.20,0.00,0.00,0.00,43.40,185.70,35.20,24.90,0.40,5.80,0.20,295.80,0.20,0.00,289.20,6.40
23,KOKAN & GOA,1969,0.00,0.00,0.00,1.10,2.40,649.90,1290.30,548.50,603.20,37.90,26.50,0.90,3160.70,0.00,3.50,3091.90,65.30
24,MADHYA MAHARASHTRA,1969,0.20,0.00,1.40,5.80,4.00,140.10,307.10,248.30,234.00,20.10,22.30,0.90,984.20,0.20,11.20,929.50,43.30
25,MARATWADA ,1969,0.00,0.00,0.20,0.10,2.70,120.80,222.60,148.30,277.10,14.70,38.10,0.00,824.60,0.00,3.00,768.80,52.80
26,VIDARBHA,1969,1.50,0.00,0.60,4.00,9.60,98.60,371.00,200.00,281.50,5.40,19.40,1.30,992.90,1.50,14.20,951.10,26.10
27,CHATTISGARH,1969,5.50,3.10,0.60,17.20,47.10,125.40,419.60,287.20,207.20,17.20,5.40,7.90,1143.40,8.60,64.90,1039.40,30.50
28,COSTAL ANDHRA PRADESH,1969,0.20,0.20,2.70,5.00,219.30,99.30,178.40,106.70,96.30,288.10,187.90,100.00,1284.10,0.40,227.00,480.70,576.00
29,TELENGANA,1969,1.70,0.00,2.00,5.70,80.80,89.20,239.10,175.30,230.00,61.40,62.90,22.50,970.60,1.70,88.50,733.60,146.80
30,RAYALSEEMA,1969,0.00,0.00,0.60,5.00,70.30,52.40,93.70,132.20,45.90,201.40,67.60,38.00,707.10,0.00,75.90,324.20,307.00
31,TAMIL NADU & PONDICHERRY,1969,1.50,7.20,3.50,32.10,57.00,30.40,60.90,139.70,36.80,275.10,190.50,127.10,961.80,8.70,92.60,267.80,592.70
32,COASTAL KARNATAKA,1969,0.00,0.00,1.20,44.80,49.90,704.80,1253.90,488.20,542.70,163.40,82.60,11.40,3342.90,0.00,95.90,2989.60,257.40
33,NORTH INTERIOR KARNATAKA,1969,0.00,0.00,4.10,14.90,40.60,89.40,151.10,159.20,121.50,113.70,33.50,1.30,729.30,0.00,59.60,521.20,148.50
34,SOUTH INTERIOR KARNATAKA,1969,0.00,0.00,2.40,38.40,102.60,100.70,289.60,214.70,103.80,174.10,50.80,27.40,1104.50,0.00,143.40,708.80,252.30
35,KERALA,1969,2.70,6.40,19.40,117.20,227.40,550.50,818.80,284.80,216.40,235.60,119.40,66.30,2664.90,9.10,364.00,1870.50,421.30
36,LAKSHADWEEP ,1969,30.00,4.10,0.00,63.30,237.90,125.60,149.00,225.30,95.90,162.30,157.50,165.20,1416.10,34.10,301.20,595.80,485.00
1,ANDAMAN & NICOBAR ISLANDS,1970,72.20,34.00,7.80,58.20,422.70,407.30,564.60,342.90,423.50,386.60,418.40,232.70,3370.90,106.20,488.70,1738.30,1037.70
2,ARUNACHAL PRADESH,1970,49.20,78.80,57.40,108.80,213.40,409.60,377.90,245.40,287.40,138.60,6.90,0.00,1973.40,128.00,379.60,1320.30,145.50
3,ASSAM & MEGHALAYA,1970,49.20,32.10,99.60,220.80,528.40,810.10,528.90,419.90,434.60,286.50,18.30,0.10,3428.50,81.30,848.80,2193.50,304.90
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1970,45.80,306.30,103.60,160.10,315.90,541.70,976.70,836.70,486.20,425.60,116.70,1.00,4316.30,352.10,579.60,2841.30,543.30
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1970,18.00,13.40,7.60,162.50,162.70,556.60,731.20,425.40,560.80,60.70,3.30,0.00,2702.20,31.40,332.80,2274.00,64.00
6,GANGETIC WEST BENGAL,1970,10.80,15.10,30.80,16.80,63.50,323.20,285.00,219.80,472.60,195.00,15.80,0.00,1648.40,25.90,111.10,1300.60,210.80
7,ORISSA,1970,4.50,27.30,47.10,31.90,59.90,306.30,307.80,349.00,206.90,66.90,2.40,0.20,1410.20,31.80,138.90,1170.00,69.50
8,JHARKHAND,1970,24.30,16.60,28.10,8.40,29.70,182.50,300.10,253.00,381.20,66.90,1.50,0.00,1292.30,40.90,66.20,1116.80,68.40
9,BIHAR ,1970,22.10,13.40,3.20,17.90,39.20,194.60,284.20,235.60,229.50,34.50,0.40,0.00,1074.60,35.50,60.30,943.90,34.90
10,EAST UTTAR PRADESH,1970,31.30,41.30,8.40,2.10,30.30,178.10,197.90,226.10,365.50,51.20,0.10,0.00,1132.30,72.60,40.80,967.60,51.30
11,WEST UTTAR PRADESH,1970,38.00,45.20,9.50,0.10,15.50,129.40,133.70,316.40,161.70,16.90,0.00,0.00,866.40,83.20,25.10,741.20,16.90
12,UTTARANCHAL,1970,85.90,43.90,32.80,5.70,68.20,191.10,316.50,355.10,158.00,29.80,0.80,0.20,1288.00,129.80,106.70,1020.70,30.80
13,"HARYANA, DELHI & CHANDIGARH",1970,35.20,35.80,9.10,0.00,11.00,67.50,64.00,206.50,103.50,1.20,0.00,0.00,533.80,71.00,20.10,441.50,1.20
14,PUNJAB ,1970,40.10,20.60,7.30,0.30,12.80,119.80,75.40,260.70,109.40,4.20,0.00,0.00,650.60,60.70,20.40,565.30,4.20
15,HIMACHAL PRADESH,1970,116.50,39.00,37.90,7.30,43.50,163.20,223.40,280.40,164.40,6.60,0.20,0.30,1082.70,155.50,88.70,831.40,7.10
16,JAMMU & KASHMIR,1970,62.50,54.10,106.00,32.80,38.80,82.10,65.40,92.10,86.50,54.80,0.00,4.30,679.40,116.60,177.60,326.10,59.10
17,WEST RAJASTHAN ,1970,4.50,18.40,2.30,0.20,3.90,32.90,63.00,162.80,67.50,0.20,0.00,0.00,355.70,22.90,6.40,326.20,0.20
18,EAST  RAJASTHAN ,1970,6.80,25.90,1.80,0.10,5.90,90.10,147.00,318.20,116.40,4.60,0.00,0.00,716.80,32.70,7.80,671.70,4.60
19,WEST MADHYA PRADESH,1970,19.90,12.10,8.30,0.50,12.20,254.40,186.50,346.60,265.80,6.80,0.00,0.00,1113.10,32.00,21.00,1053.30,6.80
20,EAST MADHYA PRADESH,1970,60.60,29.40,36.30,1.40,12.50,198.20,268.50,481.20,250.60,3.60,0.00,0.00,1342.30,90.00,50.20,1198.50,3.60
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1970,0.10,0.90,0.10,0.10,5.80,264.10,262.80,495.70,325.10,6.00,0.00,0.00,1360.70,1.00,6.00,1347.70,6.00
22,SAURASHTRA KUTCH & DIU,1970,0.10,0.00,0.60,0.20,8.10,66.30,220.90,330.80,190.30,18.10,0.10,0.00,835.50,0.10,8.90,808.30,18.20
23,KOKAN & GOA,1970,0.00,0.00,0.00,1.50,73.90,960.60,1004.50,1179.40,316.80,84.10,0.00,0.20,3621.00,0.00,75.40,3461.30,84.30
24,MADHYA MAHARASHTRA,1970,1.00,0.00,0.60,17.90,39.10,195.40,200.10,254.90,161.30,70.90,0.00,0.00,941.20,1.00,57.60,811.70,70.90
25,MARATWADA ,1970,8.40,0.00,2.80,7.50,30.20,215.10,103.90,344.90,178.10,19.90,0.00,0.00,910.80,8.40,40.50,842.00,19.90
26,VIDARBHA,1970,15.90,1.00,18.30,4.20,17.50,304.10,211.00,435.60,223.30,9.60,0.00,0.00,1240.50,16.90,40.00,1174.00,9.60
27,CHATTISGARH,1970,12.20,11.70,43.30,18.90,23.40,239.90,456.50,451.70,235.60,19.00,0.00,0.00,1512.20,23.90,85.60,1383.70,19.00
28,COSTAL ANDHRA PRADESH,1970,1.50,7.50,17.00,13.00,88.00,136.40,147.10,225.50,108.00,191.60,16.10,0.00,951.70,9.00,118.00,617.00,207.70
29,TELENGANA,1970,5.20,1.10,7.20,20.70,53.50,196.40,133.60,333.10,169.20,33.90,0.00,0.00,953.90,6.30,81.40,832.30,33.90
30,RAYALSEEMA,1970,0.20,8.00,2.80,12.70,84.50,46.60,80.60,167.90,136.90,101.50,35.30,0.30,677.30,8.20,100.00,432.00,137.10
31,TAMIL NADU & PONDICHERRY,1970,15.90,18.00,9.20,61.80,85.40,51.60,88.90,98.50,102.40,195.10,199.90,15.30,942.00,33.90,156.40,341.40,410.30
32,COASTAL KARNATAKA,1970,0.00,0.00,2.00,30.90,260.40,843.70,1259.20,1130.50,328.70,157.80,28.70,0.00,4041.90,0.00,293.30,3562.10,186.50
33,NORTH INTERIOR KARNATAKA,1970,0.40,0.20,1.00,31.50,76.50,80.70,131.50,199.90,173.20,95.70,0.00,0.00,790.60,0.60,109.00,585.30,95.70
34,SOUTH INTERIOR KARNATAKA,1970,1.40,5.50,4.20,49.60,129.20,99.40,209.90,206.70,129.20,217.50,20.90,0.20,1073.70,6.90,183.00,645.20,238.60
35,KERALA,1970,12.90,17.60,25.80,132.70,289.10,535.30,558.10,554.80,212.50,278.30,80.50,5.70,2703.30,30.50,447.60,1860.70,364.50
36,LAKSHADWEEP ,1970,18.70,6.30,13.80,32.30,164.90,322.10,484.40,284.60,228.90,126.90,81.20,18.90,1783.00,25.00,211.00,1320.00,227.00
1,ANDAMAN & NICOBAR ISLANDS,1971,41.50,32.80,37.70,35.30,398.00,394.60,421.10,327.90,470.20,505.30,178.40,155.90,2998.70,74.30,471.00,1613.80,839.60
2,ARUNACHAL PRADESH,1971,56.00,67.80,47.10,121.80,222.40,460.90,385.50,288.20,239.60,235.10,67.80,7.30,2199.50,123.80,391.30,1374.20,310.20
3,ASSAM & MEGHALAYA,1971,34.50,17.00,38.70,174.80,252.40,537.40,444.60,522.60,242.00,206.00,83.50,10.80,2564.30,51.50,465.90,1746.60,300.30
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1971,28.40,67.60,12.40,312.60,248.00,543.20,624.00,553.10,421.20,171.30,94.60,4.50,3080.90,96.00,573.00,2141.50,270.40
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1971,42.80,34.70,89.10,228.30,244.20,688.20,518.90,466.60,332.50,314.00,24.00,1.70,2985.00,77.50,561.60,2006.20,339.70
6,GANGETIC WEST BENGAL,1971,30.60,14.20,4.80,174.20,122.10,260.30,472.50,573.40,252.80,163.50,31.40,0.00,2099.80,44.80,301.10,1559.00,194.90
7,ORISSA,1971,16.10,23.50,1.90,76.90,89.60,290.80,290.90,411.00,171.50,229.90,2.10,0.00,1604.20,39.60,168.40,1164.20,232.00
8,JHARKHAND,1971,43.40,24.30,2.10,95.60,83.50,272.30,503.10,526.10,237.50,104.00,6.70,0.10,1898.70,67.70,181.20,1539.00,110.80
9,BIHAR ,1971,17.30,14.60,5.10,91.40,81.50,278.00,307.00,367.90,129.20,138.60,1.90,0.00,1432.50,31.90,178.00,1082.10,140.50
10,EAST UTTAR PRADESH,1971,15.70,12.60,7.10,40.20,54.50,202.90,295.30,386.70,221.80,77.50,0.50,0.00,1314.80,28.30,101.80,1106.70,78.00
11,WEST UTTAR PRADESH,1971,10.90,12.50,2.90,11.50,45.00,138.40,283.20,281.50,126.10,84.00,6.20,0.00,1002.20,23.40,59.40,829.20,90.20
12,UTTARANCHAL,1971,52.10,101.40,44.90,69.00,274.60,297.40,335.70,375.90,155.30,80.00,22.00,0.30,1808.60,153.50,388.50,1164.30,102.30
13,"HARYANA, DELHI & CHANDIGARH",1971,17.00,18.90,1.00,7.40,58.70,60.20,149.60,259.20,50.10,12.50,1.80,0.00,636.40,35.90,67.10,519.10,14.30
14,PUNJAB ,1971,5.20,42.00,3.30,11.80,42.60,99.00,251.40,255.90,27.20,1.60,8.10,0.00,748.10,47.20,57.70,633.50,9.70
15,HIMACHAL PRADESH,1971,53.10,76.50,13.70,57.50,71.80,252.70,352.80,301.20,67.00,13.80,12.20,2.60,1274.90,129.60,143.00,973.70,28.60
16,JAMMU & KASHMIR,1971,31.50,129.00,10.80,108.00,28.20,89.10,115.30,180.80,12.60,3.60,29.70,22.80,761.40,160.50,147.00,397.80,56.10
17,WEST RAJASTHAN ,1971,3.40,0.40,0.20,1.10,23.90,69.90,83.70,46.40,20.50,2.20,0.00,0.00,251.70,3.80,25.20,220.50,2.20
18,EAST  RAJASTHAN ,1971,2.90,0.70,0.10,1.20,33.60,172.50,287.80,153.80,115.10,14.00,0.60,0.00,782.30,3.60,34.90,729.20,14.60
19,WEST MADHYA PRADESH,1971,5.40,2.00,1.20,2.80,17.70,183.90,446.90,220.30,209.60,45.60,0.20,0.00,1135.60,7.40,21.70,1060.70,45.80
20,EAST MADHYA PRADESH,1971,34.60,8.30,11.40,13.60,30.00,356.60,507.90,286.30,159.20,110.90,0.00,0.00,1518.80,42.90,55.00,1310.00,110.90
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1971,0.00,0.10,0.00,0.30,5.30,180.10,250.00,191.70,136.20,4.70,0.00,0.00,768.40,0.10,5.60,758.00,4.70
22,SAURASHTRA KUTCH & DIU,1971,0.30,0.00,0.00,0.20,2.30,145.30,180.50,136.20,49.90,1.00,0.00,0.00,515.70,0.30,2.50,511.90,1.00
23,KOKAN & GOA,1971,0.00,0.00,0.00,0.30,79.60,998.50,661.30,596.80,370.60,39.90,0.90,0.00,2747.90,0.00,79.90,2627.20,40.80
24,MADHYA MAHARASHTRA,1971,0.00,0.00,0.10,3.80,43.30,155.60,124.90,204.00,185.60,56.00,0.00,0.00,773.30,0.00,47.20,670.10,56.00
25,MARATWADA ,1971,0.20,0.10,1.30,0.10,38.80,83.20,24.30,220.00,131.50,108.40,0.00,0.00,607.90,0.30,40.20,459.00,108.40
26,VIDARBHA,1971,3.70,12.80,21.20,12.40,26.70,193.60,124.30,259.20,119.50,108.90,0.00,0.00,882.30,16.50,60.30,696.60,108.90
27,CHATTISGARH,1971,20.10,24.80,11.40,49.40,69.40,384.10,354.30,398.30,127.90,89.20,4.70,0.00,1533.60,44.90,130.20,1264.60,93.90
