State,ANNUAL,APR,AUG,DEC,FEB,JAN,JUL,JUN,MAR,MAY,NOV,OCT,SEP,Year
Tripura,1561.6,124.5,178.8,2.7,12.8,0.4,273.6,341.0,3.6,317.6,11.6,75.4,219.6,2006
Uttar Pradesh,667.06,7.64,127.04,1.3,0.0,0.16000000000000003,299.15999999999997,105.60000000000001,17.36,31.08,0.8200000000000001,11.14,65.75999999999999,2006
Uttarakhand,1264.8,16.0,349.9,22.1,0.9,13.3,417.3,111.7,58.8,166.9,0.9,7.7,99.3,2006
West Bengal,1945.9,80.95,313.29999999999995,2.8,5.75,0.1,487.04999999999995,305.45,20.35,211.9,14.5,84.75,419.0,2006
Andaman and Nicobar Islands,2656.7,55.5,431.0,54.2,1.6,4.8,404.8,380.2,13.5,359.7,225.2,239.7,486.5,2007
Andhra Pradesh,1014.0,15.15,169.6,30.2,5.3,0.0,99.0,244.75,0.5,41.349999999999994,27.049999999999997,179.5,201.6,2007
Arunachal Pradesh,2401.3,274.1,208.1,7.1,77.9,17.0,587.9,386.4,52.9,202.4,19.9,120.8,446.8,2007
Assam,2414.6,236.4,303.2,5.9,75.6,1.2,534.5,461.3,24.0,212.1,32.3,139.6,388.5,2007
Bihar,1466.2,10.4,371.7,0.2,16.4,0.0,504.4,129.6,18.7,37.9,0.2,39.4,337.3,2007
Chandigarh,479.9,1.9,94.1,2.1,87.9,1.8,73.2,96.3,49.3,22.1,0.3,0.0,50.9,2007
Chhattisgarh,1244.1,5.4,321.8,0.0,23.9,0.0,283.1,246.1,7.3,20.0,6.0,76.7,253.8,2007
Dadra and Nagar Haveli,1158.8,0.0,349.5,0.0,0.1,0.0,542.1,92.4,0.0,0.0,1.3,0.0,173.4,2007
Daman and Diu,892.1,0.3,421.4,0.0,1.6,0.0,205.3,111.9,0.1,0.0,0.9,0.0,150.6,2007
Delhi,479.9,1.9,94.1,2.1,87.9,1.8,73.2,96.3,49.3,22.1,0.3,0.0,50.9,2007
Goa,3401.1,1.5,1007.3,0.1,0.0,0.0,815.2,919.5,0.0,19.4,23.2,30.0,584.9,2007
Gujarat,1025.45,0.15,385.45,0.0,0.8500000000000001,0.0,373.70000000000005,102.15,0.05,0.0,1.1,0.0,162.0,2007
Haryana,479.9,1.9,94.1,2.1,87.9,1.8,73.2,96.3,49.3,22.1,0.3,0.0,50.9,2007
Himachal Pradesh,862.5,9.3,196.3,16.4,119.7,0.1,156.1,84.5,174.1,36.5,0.4,9.0,60.1,2007
Jammu and Kashmir,1037.9,12.9,202.3,47.8,121.7,10.3,127.3,134.8,279.6,66.0,1.1,0.5,33.6,2007
Jharkhand,1441.5,15.7,340.0,0.0,74.4,0.0,484.3,115.9,16.9,46.9,4.1,30.0,313.3,2007
Karnataka,1974.2333333333333,22.633333333333336,443.93333333333334,5.333333333333333,0.16666666666666666,0.0,425.3666666666666,496.73333333333335,1.1333333333333335,62.96666666666667,26.2,126.39999999999999,363.3666666666666,2007
Kerala,3619.5,143.4,502.5,13.4,5.6,0.4,996.1,737.4,8.0,202.7,93.7,366.1,550.2,2007
Lakshadweep,2037.9,16.9,267.2,126.4,4.7,9.8,298.3,555.6,0.0,147.3,52.1,213.6,346.0,2007
Madhya Pradesh,873.58,1.92,237.62,1.7200000000000002,29.659999999999997,0.04000000000000001,301.65999999999997,110.24,8.639999999999999,9.4,4.22,2.4599999999999995,166.0,2007
Maharashtra,894.2999999999998,4.033333333333333,217.9333333333333,0.0,0.43333333333333335,0.0,231.96666666666667,210.0666666666667,2.766666666666667,3.0666666666666664,6.433333333333334,10.4,207.19999999999996,2007
Manipur,2146.0,171.6,287.3,7.1,60.0,0.4,418.1,346.6,25.3,205.8,73.8,200.9,349.1,2007
Meghalaya,2414.6,236.4,303.2,5.9,75.6,1.2,534.5,461.3,24.0,212.1,32.3,139.6,388.5,2007
Mizoram,2146.0,171.6,287.3,7.1,60.0,0.4,418.1,346.6,25.3,205.8,73.8,200.9,349.1,2007
Nagaland,2146.0,171.6,287.3,7.1,60.0,0.4,418.1,346.6,25.3,205.8,73.8,200.9,349.1,2007
Odisha,1664.9,22.7,421.7,0.0,34.3,0.9,292.9,333.9,8.9,68.4,16.4,71.4,393.4,2007
Puducherry,968.8,55.2,131.7,216.2,5.7,5.4,74.7,55.8,0.9,43.6,81.6,222.2,75.8,2007
Punjab,494.3,6.3,131.9,7.2,71.4,0.9,87.4,80.6,57.4,7.7,2.7,0.3,40.5,2007
Rajasthan,472.11,1.3299999999999998,133.87,0.7899999999999999,18.799999999999997,0.21,185.45999999999998,51.03999999999999,10.64,2.32,0.0,0.0,67.65,2007
Sikkim,2641.3,144.9,426.2,1.8,90.8,0.6,701.4,468.5,37.6,221.2,7.5,76.8,464.0,2007
Tamil Nadu,968.8,55.2,131.7,216.2,5.7,5.4,74.7,55.8,0.9,43.6,81.6,222.2,75.8,2007
Telangana,902.6,13.3,212.8,0.0,2.7,0.0,135.8,170.9,0.1,16.0,15.5,54.2,281.3,2007
Tripura,2146.0,171.6,287.3,7.1,60.0,0.4,418.1,346.6,25.3,205.8,73.8,200.9,349.1,2007
Uttar Pradesh,752.36,2.04,189.95999999999998,1.22,55.78,0.3,248.23999999999998,80.86,29.58,20.9,0.0,6.180000000000001,117.30000000000001,2007
Uttarakhand,1894.4,18.2,576.0,8.7,131.5,4.9,501.7,216.3,104.5,51.2,0.0,10.9,270.5,2007
West Bengal,2297.25,90.55000000000001,378.04999999999995,0.9,73.8,1.9000000000000001,657.75,357.7,37.900000000000006,157.1,24.1,66.45,451.05,2007
Andaman and Nicobar Islands,3335.2,203.9,455.1,72.8,55.7,16.6,510.5,454.4,116.3,547.0,325.6,245.2,332.1,2008
Andhra Pradesh,926.0999999999999,4.8999999999999995,170.15,3.45,42.35,5.35,128.55,61.25,85.80000000000001,37.85,148.45,104.8,133.2,2008
Arunachal Pradesh,2470.4,113.0,586.8,12.3,33.4,72.9,523.1,494.4,118.5,177.5,13.6,119.7,205.2,2008
Assam,2271.2,165.6,501.1,1.5,13.9,28.8,446.5,399.9,116.0,207.6,1.8,131.3,257.2,2008
Bihar,1306.7,16.4,303.1,0.2,5.8,38.0,426.3,277.1,1.7,68.3,0.0,31.4,138.4,2008
Chandigarh,633.0,16.4,164.9,0.1,2.5,2.7,116.2,150.6,0.0,68.0,5.0,1.8,104.8,2008
Chhattisgarh,1144.0,9.9,320.9,0.0,9.6,5.6,306.3,234.2,33.9,9.5,0.6,10.5,203.0,2008
Dadra and Nagar Haveli,932.5,2.3,377.7,1.9,0.0,0.0,267.7,60.5,0.0,0.0,0.1,10.0,212.3,2008
Daman and Diu,572.4,0.7,109.6,7.4,0.2,0.1,144.9,77.0,0.0,0.0,0.6,4.9,227.0,2008
Delhi,633.0,16.4,164.9,0.1,2.5,2.7,116.2,150.6,0.0,68.0,5.0,1.8,104.8,2008
Goa,3051.6,1.1,889.9,4.5,0.0,0.0,789.2,754.7,16.5,12.5,0.4,47.8,535.0,2008
Gujarat,752.45,1.5,243.64999999999998,4.65,0.1,0.05,206.3,68.75,0.0,0.0,0.35,7.45,219.65,2008
Haryana,633.0,16.4,164.9,0.1,2.5,2.7,116.2,150.6,0.0,68.0,5.0,1.8,104.8,2008
Himachal Pradesh,1048.9,47.1,229.3,31.5,46.9,107.2,182.0,178.9,5.1,50.1,1.3,21.8,147.7,2008
Jammu and Kashmir,1087.2,96.8,166.9,94.8,133.2,105.5,169.1,143.2,8.8,59.9,22.0,41.9,45.1,2008
Jharkhand,1200.6,17.3,275.2,0.0,4.6,10.1,388.1,265.9,23.2,31.4,2.2,14.3,168.3,2008
Karnataka,1619.0,21.23333333333333,398.23333333333335,4.066666666666667,11.733333333333334,0.0,294.1333333333334,357.93333333333334,142.5666666666667,52.03333333333334,22.900000000000002,96.3,217.86666666666665,2008
Kerala,2534.2,103.7,347.8,16.1,29.7,0.8,508.7,478.0,216.0,78.6,56.8,354.1,343.9,2008
Lakshadweep,1726.4,15.7,206.5,130.1,19.9,5.5,364.0,254.5,120.4,180.4,67.5,253.0,108.9,2008
Madhya Pradesh,892.96,5.2,237.59999999999997,0.04000000000000001,3.0,1.1800000000000002,238.90000000000003,249.36,7.18,4.12,4.859999999999999,13.48,128.04000000000002,2008
Maharashtra,788.5333333333334,4.566666666666666,203.66666666666666,0.7666666666666666,1.0666666666666667,0.5,164.96666666666667,100.73333333333333,32.63333333333333,4.733333333333333,4.366666666666666,31.933333333333334,238.6,2008
Manipur,1481.7,32.0,299.7,3.2,10.1,30.7,254.8,280.9,42.2,147.1,3.4,155.7,221.9,2008
Meghalaya,2271.2,165.6,501.1,1.5,13.9,28.8,446.5,399.9,116.0,207.6,1.8,131.3,257.2,2008
Mizoram,1481.7,32.0,299.7,3.2,10.1,30.7,254.8,280.9,42.2,147.1,3.4,155.7,221.9,2008
Nagaland,1481.7,32.0,299.7,3.2,10.1,30.7,254.8,280.9,42.2,147.1,3.4,155.7,221.9,2008
Odisha,1600.4,34.4,391.6,0.0,14.9,33.0,319.3,340.1,24.9,44.8,3.7,26.2,367.5,2008
Puducherry,1195.7,30.9,132.3,49.5,32.8,13.2,76.9,45.8,175.8,55.1,273.2,240.8,69.4,2008
Punjab,708.7,31.8,247.0,1.8,6.6,14.7,96.4,203.3,0.0,40.5,0.1,9.5,57.0,2008
Rajasthan,531.88,7.1,162.23,1.99,0.06,0.12,137.42999999999998,114.74,0.3,13.45,0.9099999999999999,1.9899999999999998,91.56,2008
Sikkim,2618.8,140.3,645.5,5.6,8.4,27.2,639.1,550.9,67.8,161.3,12.2,94.3,266.2,2008
Tamil Nadu,1195.7,30.9,132.3,49.5,32.8,13.2,76.9,45.8,175.8,55.1,273.2,240.8,69.4,2008
Telangana,998.0,16.0,354.1,0.3,20.0,0.0,173.7,124.1,113.2,8.4,13.8,28.8,145.6,2008
Tripura,1481.7,32.0,299.7,3.2,10.1,30.7,254.8,280.9,42.2,147.1,3.4,155.7,221.9,2008
Uttar Pradesh,1009.3,5.5600000000000005,259.86,0.0,2.08,1.28,350.79999999999995,240.32,0.0,26.22,2.9600000000000004,11.200000000000001,109.02000000000001,2008
